City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,0.92,97,92,0.8,CL,1694212281
1,adamstown,-25.066,-130.1015,19.62,81,100,7.32,PN,1694212554
2,cabo san lucas,22.8909,-109.9124,34.78,66,0,8.23,MX,1694212406
3,kodiak,57.79,-152.4072,11.73,71,75,5.66,US,1694212555
4,margaret river,-33.95,115.0667,15.1,80,11,5.22,AU,1694212415
5,tagiura,32.8817,13.3506,25.37,67,1,6.61,LY,1694212555
6,saint-denis,48.9167,2.3333,27.3,55,0,2.57,FR,1694212555
7,constantia,44.1833,28.65,14.38,49,0,4.04,RO,1694212556
8,waingapu,-9.6567,120.2641,23.18,76,8,2.79,ID,1694212556
9,kruisfontein,-34.0033,24.7314,12.25,81,26,1.69,ZA,1694212556
10,howard springs,-12.497,131.047,26.01,82,40,3.07,AU,1694212556
11,albany,42.6001,-73.9662,23.66,89,94,1.78,US,1694212557
12,arkhangel'sk,64.5401,40.5433,6.29,91,13,1.07,RU,1694212557
13,bethel,41.3712,-73.414,22.64,87,75,0.0,US,1694212557
14,college,64.8569,-147.8028,14.56,62,75,3.6,US,1694212557
15,vorgashor,67.5833,63.95,4.67,96,50,2.58,RU,1694212557
16,utrik,11.2278,169.8474,28.34,76,25,4.21,MH,1694212557
17,chamical,-30.36,-66.314,15.43,41,2,4.02,AR,1694212558
18,ribeira grande,38.5167,-28.7,20.43,78,10,2.68,PT,1694212558
19,isafjordur,66.0755,-23.124,5.22,97,100,5.93,IS,1694212558
20,afaahiti,-17.75,-149.2833,27.93,78,33,4.05,PF,1694212559
21,umm ruwaba,12.9061,31.2158,29.27,55,56,3.64,SD,1694212541
22,termas de rio hondo,-27.4998,-64.8604,15.75,60,10,3.18,AR,1694212560
23,edinburgh of the seven seas,-37.0676,-12.3116,10.18,64,85,16.05,SH,1694212560
24,minas de marcona,-15.2119,-75.1103,14.17,77,4,6.56,PE,1694212560
25,portland,45.5234,-122.6762,27.59,41,20,4.63,US,1694212437
26,farasan,16.7022,42.1183,31.53,73,18,2.78,SA,1694212560
27,grytviken,-54.2811,-36.5092,-3.16,88,43,0.97,GS,1694212561
28,kailua-kona,19.6406,-155.9956,29.04,74,40,4.63,US,1694212562
29,thompson,55.7435,-97.8558,17.09,48,75,5.14,CA,1694212562
30,udachny,66.4167,112.4,0.25,92,100,5.76,RU,1694212562
31,lihue,21.9789,-159.3672,29.3,64,20,5.14,US,1694212563
32,port-aux-francais,-49.35,70.2167,2.74,70,48,16.49,TF,1694212563
33,cicuco,9.2631,-74.6569,29.07,72,100,1.21,CO,1694212563
34,avarua,-21.2078,-159.775,24.03,78,75,6.69,CK,1694212269
35,colonia menno,-22.3667,-59.8167,19.76,85,56,5.25,PY,1694212563
36,yellowknife,62.456,-114.3525,15.79,71,75,6.17,CA,1694212501
37,susuman,62.7833,148.1667,4.48,95,100,2.34,RU,1694212400
38,tilcara,-23.5776,-65.3509,10.5,13,3,8.74,AR,1694212564
39,mudgee,-32.5943,149.5871,7.01,54,4,3.61,AU,1694212564
40,hawaiian paradise park,19.5933,-154.9731,28.91,72,40,4.12,US,1694212565
41,keflavik,64.0049,-22.5624,9.24,100,100,4.63,IS,1694212565
42,sohagpur,22.7,78.2,24.21,98,100,1.5,IN,1694212565
43,saipan,15.1355,145.701,24.39,94,100,3.09,MP,1694212565
44,alice springs,-23.7,133.8833,9.75,34,100,2.06,AU,1694212565
45,fortuna,40.5982,-124.1573,20.52,78,0,5.66,US,1694212566
46,ketchikan,55.3422,-131.6461,17.26,63,100,4.63,US,1694212458
47,aleksandrovsk-sakhalinskiy,50.8975,142.1561,12.99,51,58,3.85,RU,1694212566
48,puerto baquerizo moreno,-0.9,-89.6,25.55,78,75,5.66,EC,1694212566
49,palmer,42.1584,-72.3287,27.3,70,75,10.29,US,1694212414
50,camargo,27.6667,-105.1667,35.1,16,2,2.89,MX,1694212567
51,tolanaro,-25.0319,46.9987,23.04,94,40,3.09,MG,1694212567
52,iguape,-24.7081,-47.5553,19.81,94,80,1.58,BR,1694212567
53,longyearbyen,78.2186,15.6401,5.91,93,100,2.06,SJ,1694212567
54,punta arenas,-53.15,-70.9167,5.06,87,75,1.54,CL,1694212567
55,kota tinggi,1.7381,103.8999,28.02,95,54,0.68,MY,1694212568
56,bilibino,68.0546,166.4372,5.44,73,98,2.47,RU,1694212568
57,olonkinbyen,70.9221,-8.7187,3.42,96,100,6.99,SJ,1694212568
58,mesquite,32.7668,-96.5992,44.75,24,0,2.68,US,1694212501
59,tongchuanshi,35.0806,109.0897,21.32,83,66,1.03,CN,1694212568
60,iqaluit,63.7506,-68.5145,6.85,56,20,9.77,CA,1694212569
61,dudinka,69.4058,86.1778,4.79,69,100,3.55,RU,1694212569
62,obo,5.3998,26.4869,20.6,90,38,1.29,CF,1694212569
63,sakakah,29.9697,40.2064,32.76,17,0,4.3,SA,1694212569
64,talnakh,69.4865,88.3972,4.56,64,100,3.17,RU,1694212569
65,waitangi,-43.9535,-176.5597,12.68,87,77,3.1,NZ,1694212570
66,haiku-pauwela,20.9219,-156.3051,30.01,56,20,10.29,US,1694212570
67,georgetown,5.4112,100.3354,28.3,92,20,1.54,MY,1694212494
68,invercargill,-46.4,168.35,13.34,62,28,1.79,NZ,1694212570
69,pedernales,18.0384,-71.744,28.98,74,11,1.54,DO,1694212570
70,badger,64.8,-147.5333,14.52,60,100,3.6,US,1694212570
71,hermanus,-34.4187,19.2345,12.11,90,86,2.18,ZA,1694212571
72,zhongshu,24.5167,103.7667,16.19,96,34,1.81,CN,1694212571
73,kayangel,8.0823,134.7173,27.67,81,100,5.71,PW,1694212571
74,remire-montjoly,4.9167,-52.2667,28.02,74,0,4.12,GF,1694212571
75,blackmans bay,-43.0167,147.3167,8.62,66,91,8.25,AU,1694212572
76,culpeper,38.5004,-77.9664,32.84,54,40,3.13,US,1694212572
77,revda,56.801,59.9303,8.04,86,100,2.62,RU,1694212572
78,la passe,45.5549,-0.8967,23.13,38,59,2.53,FR,1694212572
79,ushuaia,-54.8,-68.3,3.81,65,0,1.03,AR,1694212304
80,atafu village,-8.5421,-172.5159,28.08,72,71,5.01,TK,1694212573
81,tucumcari,35.1717,-103.725,34.97,18,0,4.12,US,1694212573
82,contamana,-7.3333,-75.0167,31.19,35,45,1.04,PE,1694212573
83,mouila,-1.8685,11.0559,24.47,77,100,1.79,GA,1694212573
84,tongren,27.7172,109.1853,23.36,93,4,0.78,CN,1694212573
85,port lincoln,-34.7333,135.8667,10.63,63,56,2.15,AU,1694212573
86,patnanungan,14.7833,122.1833,28.01,76,99,1.34,PH,1694212574
87,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,67,0,3.0,RU,1694212340
88,bako,5.7833,36.5667,16.8,84,67,1.99,ET,1694212574
89,xining,36.6167,101.7667,12.05,88,46,0.81,CN,1694212574
90,marsabit,2.3284,37.9899,19.51,66,93,9.59,KE,1694212574
91,palikir - national government center,6.9248,158.1611,30.41,74,75,2.57,FM,1694212575
92,pitimbu,-7.4706,-34.8086,23.33,77,21,6.19,BR,1694212575
93,papatowai,-46.5619,169.4708,15.36,52,12,0.77,NZ,1694212575
94,port mathurin,-19.6833,63.4167,22.61,74,59,6.82,MU,1694212575
95,hammel,56.2576,9.8632,17.86,84,100,3.04,DK,1694212576
96,puerto aysen,-45.4,-72.7,5.65,100,100,0.78,CL,1694212576
97,hasaki,35.7333,140.8333,26.84,89,75,6.99,JP,1694212576
98,karratha,-20.7377,116.8463,20.56,45,0,2.52,AU,1694212576
99,qaqortoq,60.7167,-46.0333,5.78,63,0,1.99,GL,1694212576
100,tionk essil,12.7856,-16.5217,28.03,92,100,1.91,SN,1694212577
101,mount pearl,47.5166,-52.7813,17.47,96,100,7.72,CA,1694212577
102,ulsteinvik,62.3432,5.8487,19.31,81,62,0.89,NO,1694212577
103,coquimbo,-29.9533,-71.3436,15.85,72,0,2.57,CL,1694212577
104,mabini,15.6,120.9833,25.58,88,98,0.74,PH,1694212577
105,bonthe,7.5264,-12.505,25.16,88,54,3.39,SL,1694212578
106,vila franca do campo,37.7167,-25.4333,21.23,78,21,5.37,PT,1694212578
107,west island,-12.1568,96.8225,23.99,78,100,3.09,CC,1694212578
108,vernon,50.2581,-119.2691,28.46,21,22,1.03,CA,1694212578
109,sakiai,54.9547,23.0358,13.59,77,85,2.0,LT,1694212578
110,hithadhoo,-0.6,73.0833,27.95,76,73,4.96,MV,1694212579
111,rongelap,11.1635,166.8941,28.45,77,19,3.87,MH,1694212579
